Date,Airline,Flight,From,To,Aircraft Type Name
2022-07-22,AAL,5548,TLH,CLT,"Bombardier CRJ900 "
2022-07-22,AAL,2452,CLT,LAS,Airbus A321
2022-07-27,DAL,660,LAS,ATL,Boeing 757-300
2022-07-28,DAL,1402,ATL,TLH,Boeing 717-200
2022-11-09,AAL,3592,TLH,MIA,Embraer 175
2022-11-09,AAL,258,MIA,PHX,Boeing 787-8
2022-11-09,AAL,2757,PHX,SAN,Boeing 737-800
2022-11-16,AAL,2500,SAN,MIA,Airbus A321
2022-11-17,AAL,3858,MIA,TLH,Embraer 175
2022-12-11,AAL,3667,TLH,DFW,Embraer 175
2022-12-11,AAL,1574,DFW,LAX,Airbus A321neo
2022-12-14,AAL,2421,LAX,DFW,Airbus A321neo
2022-12-14,AAL,3833,DFW,TLH,Embraer 175
2023-06-26,AAL,3448,TLH,DFW,Embraer 175
2023-06-26,AAL,395,DFW,ANC,Airbus A321neo
2023-07-02,AAL,1309,ANC,ORD,Boeing 737 MAX 8
2023-07-03,AAL,791,ORD,MIA,Boeing 737 MAX 8
2023-07-03,AAL,3451,MIA,TLH,Embraer 175
2023-09-29,SIL,79,TLH,FLL,ATR 72
2023-10-02,SIL,79,FLL,TLH,ATR 72
2023-11-10,AAL,5082,TLH,DCA,Bombardier CRJ700
2023-11-15,AAL,5597,DCA,TLH,Bombardier CRJ700
2024-10-04,AAL,5198,TLH,CLT,"Bombardier CRJ900 "
2024-10-04,AAL,536,CLT,ORD,Airbus A321
2024-10-09,AAL,1086,ORD,CLT,Boeing 737-800
2024-10-09,AAL,5764,CLT,TLH,Embraer RJ145
2024-12-12,DAL,1683,TLH,ATL,Boeing 737-800
2024-12-12,DAL,629,ATL,SEA,Airbus A321neo
2024-12-14,JBU,498,SEA,BOS,Airbus A321
2024-12-17,DAL,322,BOS,ATL,Airbus A321
2024-12-17,DAL,2370,ATL,TLH,Boeing 737-800
2025-03-07,DAL,848,TLH,ATL,Boeing 717-200
2025-03-07,DAL,823,ATL,SFO,Boeing 737-900ER
2025-03-11,DAL,690,SFO,ATL,Boeing 737-900ER
2025-03-12,DAL,5215,ATL,TLH,"Bombardier CRJ900 "
2025-05-17,AAL,5065,TLH,DFW,"Bombardier CRJ900 "
2025-05-17,AAL,558,DFW,SLC,Boeing 737-800
2025-05-24,AAL,519,SLC,CLT,Airbus A321
2025-05-25,AAL,5675,CLT,TLH,"Bombardier CRJ900 "
2025-06-23,AAL,3858,TLH,MIA,Embraer 175
2025-06-24,AAL,4226,MIA,TLH,Embraer 175
2025-08-04,AAL,3858,TLH,MIA,Embraer 175
2025-08-04,AAL,551,MIA,PHL,Boeing 787-8
2025-08-04,AAL,5923,PHL,BUF,Embraer RJ145
2025-08-05,DAL,5654,BUF,LGA,Embraer 170
2025-08-05,DAL,5396,LGA,BGR,"Bombardier CRJ900 "
2025-08-08,AAL,3293,BGR,PHL,Airbus A319
2025-08-08,AAL,2498,PHL,CLT,Boeing 737-800
2025-08-08,AAL,6110,CLT,TLH,Embraer RJ145
2025-09-28,AAL,6119,TLH,CLT,Embraer RJ145
2025-09-28,AAL,2176,CLT,MSP,Boeing 737-800
2025-10-04,AAL,1395,MSP,DFW,Boeing 737-800
2025-10-04,AAL,5109,DFW,TLH,Bombardier CRJ700
2025-11-14,AAL,6068,TLH,CLT,Embraer RJ145
2025-11-14,AAL,1954,CLT,SAN,Airbus A321
2025-11-19,SWA,2891,SAN,LAS,Boeing 737 MAX 8
2025-11-20,AAL,2931,LAS,CLT,Airbus A321
2025-11-21,AAL,6009,CLT,TLH,Embraer RJ145
2025-12-16,AAL,3966,TLH,MIA,Embraer 175
2025-12-18,UAL,298,FLL,EWR,Boeing 737 MAX 8
2025-12-20,AAL,2779,LGA,MIA,Boeing 737 MAX 8
2025-12-20,AAL,3451,MIA,TLH,Embraer 175
2026-04-14,DAL,1727,TLH,ATL,Boeing 717-200
2026-04-14,DAL,837,ATL,HNL,Airbus A330-300
2026-04-14,HAL,1186,HNL,OGG,Boeing 717-200
2026-04-17,HAL,1049,OGG,LIH,Boeing 717-200
2026-04-18,HAL,1120,LIH,KOA,Boeing 717-200
2026-04-23,ASA,1061,ITO,HNL,Boeing 717-200
2026-04-24,DAL,309,HNL,ATL,Airbus A330-300
2026-04-25,DAL,2563,ATL,TLH,Boeing 717-200
2026-06-16,AAL,3820,TLH,MIA,Embraer 175
2026-06-18,AAL,3820,MIA,TLH,Embraer 175
2026-07-12,DAL,3064,TLH,ATL,Boeing 717-200
2026-07-12,DAL,481,ATL,SEA,Boeing 737-900ER
2026-07-25,DAL,562,SEA,ATL,Boeing 757-300
2026-07-25,DAL,1868,ATL,TLH,Boeing 717-200
